image_path,reference,prediction,motif_mentioned,used_prompt_mode,ground_truth_class,predicted_class,classification_confidence
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 3 Pisang Setandon.jpg,"The batik fabric features the Lamongan motif, characterized by turquoise, black, white tones. The main motifs include banana, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a light teal background and white motifs. The main motifs consist of stylized flowers, each featuring five petals in dark brown or black, with green leaves extending from their centers. The 'isen-isen', which fills the spaces between the larger motifs, consists of small, evenly spaced white dots arranged in a grid-like pattern across the entire surface. The layout/pattern arrangement follows a repeating geometric design, creating a harmonious and balanced appearance throughout the fabric.",False,no_class,Lamongan,lamongan,0.42715272307395935
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 26 Batik Rahayu (Sido Mukti Rahayu).jpg,"The batik fabric features the Trenggalek motif, characterized by chocolate sogan tones. The main motifs include orchid flowers, cloves and sido mukti motif, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a deep red background and intricate patterns in shades of orange, black, and white. The main motifs consist of diamond-shaped elements with pointed ends, arranged in a grid-like pattern across the fabric. These diamonds are filled with smaller geometric shapes, including triangles and dots, creating a dense and complex 'isen-isen' design that fills every space between the larger motifs. The overall layout follows a repeating horizontal and vertical grid, ensuring uniformity throughout the piece.",False,no_class,Trenggalek,trenggalek,0.9570402503013611
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Wagastu (Sayap Rona Harapan).jpg,"The batik fabric features the Malang motif, characterized by brick red, chocolate tones. The main motifs include mango tree and sparrows, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a brown background and red, white, blue, and black motifs. The main motifs consist of stylized flowers or leaves with a central red petal surrounded by smaller white petals, and a blue center. These motifs are interspersed with small white dots forming an 'isen-isen' pattern that fills the spaces between them. The layout/pattern arrangement features these motifs arranged in diagonal rows, creating a dynamic and visually engaging design across the entire surface of the fabric.",False,no_class,Malang,malang,0.8463723659515381
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 17 Batik Rahayu (Gringsing Satrio Manah).jpg,"The batik fabric features the Trenggalek motif, characterized by green tones. The main motifs include satrio manah, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a reddish-brown background and black motifs. The main motifs consist of diamond-shaped patterns, each containing smaller geometric shapes such as triangles and circles within them. These diamond shapes are interspersed throughout the fabric in a grid-like pattern, creating a sense of symmetry and order. The 'isen-isen', or the spaces between the motifs, appear to be filled with small, intricate designs that complement the larger diamond shapes, adding depth and complexity to the overall design.",False,no_class,Trenggalek,trenggalek,0.6381943225860596
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mutiara S Data 8 Singo Mengkok Kembang Brokoli.jpg,"The batik fabric features the Lamongan motif, characterized by dark blue, light blue, black tones. The main motifs include singo mengkok and cauliflower, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a bright blue background and black, white, and light blue motifs. The main motifs appear to be stylized flowers or blossoms, each composed of multiple petal-like elements that curve gracefully upwards. These floral forms are interspersed with smaller, simpler shapes resembling leaves or buds, which fill the spaces between them. The layout follows a repeating pattern where these floral motifs are arranged in rows across the fabric, creating a harmonious and visually pleasing design.",False,no_class,Lamongan,lamongan,0.9061524868011475
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 20 Batik Kantil (Bangau).jpg,"The batik fabric features the Malang motif, characterized by dark blue tones. The main motifs include stork and chrysanthemum flower, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a deep blue background and white motifs. The main motifs consist of stylized birds, each with outstretched wings, and intricate floral patterns that resemble lotus blossoms or similar designs. These motifs are interspersed throughout the fabric in a scattered yet balanced manner. The 'isen-isen', which fills the spaces between the main motifs, features small circular and star-like shapes, creating a dense network of detailed patterns that enhance the overall complexity of the design. The layout appears to be arranged in a symmetrical fashion, with the central area featuring larger bird motifs surrounded by smaller floral elements radiating outward",False,no_class,Malang,malang,0.7450019121170044
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 19 Batik Tiepuk (Parang Kawung Cengkeh).jpg,"The batik fabric features the Trenggalek motif, characterized by chocolate, black tones. The main motifs include clove plant flora, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a dark brown background and white motifs. The main motifs consist of small, intricate star-like shapes arranged in a grid pattern. These stars are filled with smaller, repeating diamond shapes that create an 'isen-isen' effect within each star. The layout of the fabric features diagonal stripes running from the top left to the bottom right, interspersed with vertical lines that run parallel to these diagonals. This creates a dynamic interplay between the straight and curved elements, enhancing the overall geometric complexity of the design.",False,no_class,Trenggalek,trenggalek,0.9874938130378723
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Wagastu (Sayap Sulur Kopi).jpg,"The batik fabric features the Malang motif, characterized by chocolate, green tones. The main motifs include coffee plant, sulur and bird wings, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a brown background and green motifs. The main motifs consist of elongated, flowing lines that resemble stylized leaves or vines, arranged in parallel bands across the fabric. These bands are filled with smaller white dots, creating an 'isen-isen' effect where each dot represents a small leaf or petal. The layout of the pattern follows a symmetrical design, with the green bands running horizontally through the center of the fabric, flanked by vertical rows of white dots against the brown background.",False,no_class,Malang,malang,0.6275090575218201
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Rahayu (Koi Keberuntungan).jpg,"The batik fabric features the Trenggalek motif, characterized by green, blue tones. The main motifs include clove, teratai and koi fish, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a dark navy blue background and vibrant green and blue motifs. The main motifs consist of stylized fish, each featuring a combination of bright green and blue scales, with some parts in white for contrast. These fish are arranged in a scattered pattern across the fabric. Between the fish, there are smaller 'isen-isen' designs that resemble abstract floral or geometric patterns, also in green and blue hues. The overall layout appears random yet balanced, creating an engaging visual rhythm throughout the fabric.",False,no_class,Trenggalek,trenggalek,0.8530349731445312
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mekar Sari Data 6 Melati Deret.jpg,"The batik fabric features the Lamongan motif, characterized by orange, brown, white tones. The main motifs include jasmine, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a deep maroon background and white motifs. The main motifs appear to be circular, resembling small flowers or dots, arranged in a grid-like pattern across the fabric. These circles are interspersed with smaller, more intricate designs that fill the spaces between them, creating an 'isen-isen' effect where each circle is surrounded by these smaller patterns. The overall layout follows a uniform grid structure, ensuring symmetry and balance throughout the design.",False,no_class,Lamongan,trenggalek,0.8463122248649597
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Krajan (Truntum Garudeya).jpg,"The batik fabric features the Malang motif, characterized by black, white tones. The main motifs include flower and ガルデヤ, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a black background and white motifs. The main motifs include a central figure resembling a bird or phoenix, surrounded by intricate floral patterns. The 'isen-isen' filling the spaces consists of small, evenly spaced dots arranged in vertical lines that create a cascading effect across the entire surface. The layout/pattern arrangement follows a symmetrical design, with the central motif flanked by repeating floral elements along both sides, creating a balanced and harmonious composition.",False,no_class,Malang,malang,0.9389978647232056
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 14 Batik Blimbing (Ista Malang Kucecwara Gunungan).jpg,"The batik fabric features the Malang motif, characterized by crimson, white tones. The main motifs include malang monument, tapak batu and fire, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a simetris arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a dark maroon background and white motifs. The main motifs consist of stylized trees, each featuring a star at the top and a bell-like shape below it. These tree motifs are arranged in a vertical sequence across the fabric. Between these motifs, there is an 'isen-isen' pattern that fills the spaces between them, consisting of small, interconnected diamond shapes forming a honeycomb-like structure. The layout of the fabric shows a progression from more intricate patterns on the left side to simpler designs towards the right, where the 'isen-isen' pattern dominates.",False,no_class,Malang,malang,0.8894149661064148
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 17 Batik Kantil (Mak-mak Mbois).jpg,"The batik fabric features the Malang motif, characterized by black, red tones. The main motifs include cempaka putih, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a black background and red, orange, yellow, green, blue, and white motifs. The main motifs consist of stylized human figures wearing traditional attire, while the 'isen-isen' filling the spaces between them are star-shaped patterns composed of radiating lines and dots in shades of red, orange, and yellow. The layout/pattern arrangement features rows of human figures aligned vertically along the right side, interspersed with star-shaped 'isen-isen' motifs scattered across the left side of the fabric.",False,no_class,Malang,malang,0.5282307267189026
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 1 Bandeng Lele Watu Cacah.jpg,"The batik fabric features the Lamongan motif, characterized by dark blue, turquoise, red, white tones. The main motifs include milkfish and catfish and cracked stone, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a dark gray background and red, blue, and teal floral motifs. The main motifs consist of stylized flowers with rounded petals, some featuring a central dot or swirl. The 'isen-isen', which fills the spaces between the motifs, appears as small, scattered dots in various shades of gray, creating a textured effect against the darker background. The pattern is arranged in a grid-like fashion across the fabric, with each motif evenly spaced apart from its neighbors.",False,no_class,Lamongan,malang,0.8690338134765625
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Afiq Jaya_35241420061005_ Anggrek Sulur_2025_FLORA_CULTURE.jpg,"The batik fabric features the Lamongan motif, characterized by blue, light brown tones. The main motifs include orchid and tendrils, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a black background and blue, brown, and white motifs. The main motifs include stylized flowers and leaves, which are outlined in brown and filled with blue petals. These floral elements are connected by wavy lines that form intricate patterns across the fabric. The 'isen-isen', or filler designs, consist of small dots and star-like shapes scattered throughout the spaces between the larger motifs. The overall pattern arrangement follows a symmetrical design, with the left side mirroring the right side, creating a balanced and harmonious appearance.",False,no_class,Lamongan,lamongan,0.9452335238456726
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 25 Batik Tiepuk (Sekar Jagad Abstrak).jpg,"The batik fabric features the Trenggalek motif, characterized by red, pink tones. The main motifs include clove plant flora and bird fauna...., with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a white background and red motifs. The main motifs include swirling, abstract shapes that resemble leaves or vines, as well as geometric patterns such as zigzags and dots. These motifs are filled with smaller 'isen-isen', which appear to be intricate designs resembling flowers, leaves, and small geometric shapes in black against the red background. The layout/pattern arrangement consists of overlapping and intertwining motifs, creating a complex yet harmonious design across the entire surface of the fabric.",False,no_class,Trenggalek,trenggalek,0.8336138129234314
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Tutut Data 3 Sepyur Daun Melati.jpg,"The batik fabric features the Lamongan motif, characterized by pitch black, blue, golden brown tones. The main motifs include jasmine leaves, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a dark brown background and small, intricate motifs in shades of red, white, and black. The main motifs appear to be stylized flowers or leaves, each composed of multiple smaller elements such as petals and stems. These motifs are scattered across the fabric, creating a dense yet balanced pattern. The 'isen-isen', which fills the spaces between the larger motifs, consists of tiny white star-like shapes interspersed with occasional red dots, adding texture and depth to the overall design. The layout follows a repeating geometric grid, ensuring that the motifs align consistently throughout the fabric.",False,no_class,Lamongan,lamongan,0.9401201009750366
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Tiepuk (Kapur Sirih).jpg,"The batik fabric features the Trenggalek motif, characterized by dark red, yellow tones. The main motifs include lime betel plant flora and cultural monument culture, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a black background and red, white, and yellow motifs. The main motifs include stylized leaves and flowers, which are intricately detailed in red and white, with some yellow accents. These motifs are interspersed throughout the fabric, creating a dynamic pattern that extends from one edge to another. The 'isen-isen', or filler patterns, consist of small circular designs in various shades of red, white, and yellow, scattered across the entire surface of the fabric. The layout follows a symmetrical design, with the floral and leaf motifs concentrated along the left side, while the 'isen-isen'",False,no_class,Trenggalek,trenggalek,0.43070656061172485
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 9 Batik Kantil (Love Bird dan Kamboja).jpg,"The batik fabric features the Malang motif, characterized by bright purple, red tones. The main motifs include love bird and frangipani flower, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a deep purple background and vibrant red, yellow, and green motifs. The main motifs consist of stylized birds in flight, depicted with flowing lines that capture their movement. These birds are interspersed among branches adorned with blossoms, which are filled with small dots representing the centers of the flowers. The 'isen-isen' filling the spaces between these main motifs includes smaller floral patterns and additional bird figures, creating a dense yet harmonious pattern across the fabric. The overall layout follows a symmetrical design, with the central area being more densely packed with motifs compared to the edges, where the spacing becomes",False,no_class,Malang,malang,0.6701887249946594
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 3 Batik Tiepuk Malang (Gemah Ripah Jahe Cengkeh).jpg,"The batik fabric features the Trenggalek motif, characterized by orange, black tones. The main motifs include flora of ginger plants, cloves, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by an orange background and black spots as well as white serpentine lines forming the motifs. The main motifs consist of small, stylized snake-like figures with open mouths and pointed tails, arranged in a scattered pattern across the fabric. These snakes are interspersed with wavy, serpentine lines that fill the spaces between them, creating a dynamic and interconnected design. The overall layout follows a random yet harmonious arrangement, ensuring no two adjacent motifs are identical while maintaining a cohesive visual flow throughout the entire piece.",False,no_class,Trenggalek,trenggalek,0.9754126071929932
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Rahayu (Parang Barong).jpg,"The batik fabric features the Trenggalek motif, characterized by sogan chocolate tones. The main motifs include machete, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a black background and white motifs. The main motifs appear as elongated, abstract shapes resembling stylized leaves or waves, arranged in diagonal lines across the fabric. These motifs are filled with smaller, intricate patterns that resemble dots and small curves, creating an 'isen-isen' effect within each larger shape. The overall pattern arrangement consists of these diagonal rows of motifs, which repeat consistently throughout the visible portion of the fabric.",False,no_class,Trenggalek,parang,0.870910108089447
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Hamparan Rintik (Daun Waru dan Hujan).jpg,"The batik fabric features the Malang motif, characterized by grapes tones. The main motifs include flame tree, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a deep maroon background and white motifs. The main motifs include stylized leaves, small dots, and abstract shapes resembling flowers or geometric patterns. These motifs are interspersed throughout the fabric in a scattered manner, creating an organic feel. The 'isen-isen', which fills the spaces between the motifs, consists of horizontal lines and short dashes arranged in various configurations, adding to the intricate design. The overall pattern arrangement appears random yet harmonious, with no strict alignment or symmetry.",False,no_class,Malang,malang,0.8849102854728699
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Kantil (Sekar Jagad).jpg,"The batik fabric features the Malang motif, characterized by purple, white tones. The main motifs include white champaka, bunga sepatu and machete, truntum, kawung, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a deep purple background and white motifs. The main motifs include hexagons, circles, and diamond shapes, each filled with intricate crosshatch patterns or small floral designs. These motifs are arranged in a grid-like pattern across the fabric, creating a dense and symmetrical design that covers the entire surface.",False,no_class,Malang,malang,0.7693686485290527
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/FC Data 2 Bandeng Lele Krisan KLecubung.jpg,"The batik fabric features the Lamongan motif, characterized by black, red tones. The main motifs include milkfish and catfish and chrysanthemum and datura, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a black background and red motifs. The main motifs consist of intricate floral designs, including flowers and leaves, which are symmetrically arranged in a central area. Surrounding these central motifs, there are smaller star-like shapes that fill the spaces between them. These star shapes have white lines radiating outward from their centers, creating a sense of depth and texture. The overall pattern arrangement follows a symmetrical design, with the central floral motifs flanked by similar patterns along the edges of the fabric.",False,no_class,Lamongan,lamongan,0.9430640935897827
