CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY,CAPTION_ID,CAPTION_EN,Image_Path
Data 11 Batik Baronggung (Rumput Laut),Tulungagung,Rumput Laut,NATURE (Laut) // FLORA (Rumput laut),"Brick Red, coklat",Cap dan Tulis,Primisima,Sintetis,Non-geometris,Menghadirkan keindahan laut dengan motif ombak dan rumput laut yang melambangkan kesejahteraan dan keberlanjutan. Pola organik menggambarkan kearifan masyarakat pesisir dalam menjaga ekosistem bahari.,"Rumput Laut merupakan mahakarya kelas Batik Tulungagung dengan tata letak non-geometris. Warna yang digunakan adalah brick red dan coklat, membentuk motif utama laut dan rumput laut. Dibuat dengan teknik cap dan tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Menghadirkan keindahan laut dengan motif ombak dan rumput laut yang melambangkan kesejahteraan dan keberlanjutan. Pola organik menggambarkan kearifan masyarakat pesisir dalam menjaga ekosistem bahari.","The batik fabric features the Tulungagung motif, characterized by brick red, chocolate motifs. The dominant motifs include sea and seaweed. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 11 Batik Baronggung (Rumput Laut).jpg
Data 1 Batik Tiepuk Trenggalek (Turonggo Yakso),Trenggalek,Turonggoyakso,"Kebudayaan (Tari Turonggoyakso) // Flora (Tanaman cengkeh, melati, mawar)","Hitam, coklat",Tulis,Katun,Alam,Non-geometris,"Batik Turonggoyakso Trenggalek menggambarkan keanggunan dan kegagahan tari Turonggoyakso, dengan motif tari turonggoyakso dan gerakan dinamis. Perpaduan warna kontras mencerminkan semangat, keberanian, serta warisan budaya yang kaya dari Trenggalek","Turonggoyakso merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah hitam dan coklat, membentuk motif utama kebudayaan tari turonggoyakso dan flora tanaman cengkeh, melati, mawar. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Batik Turonggoyakso Trenggalek menggambarkan keanggunan dan kegagahan tari Turonggoyakso, dengan motif tari turonggoyakso dan gerakan dinamis. Perpaduan warna kontras mencerminkan semangat, keberanian, serta warisan budaya yang kaya dari Trenggalek","The batik fabric features the Trenggalek motif, characterized by black, chocolate motifs. The dominant motifs include turonggoyakso dance culture and flora of cloves, jasmine, roses. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Tiepuk Trenggalek (Turonggo Yakso).jpg
Data 2 Batik Tiepuk Trenggalek (Manggis Pecah),Trenggalek,Manggis Pecah,"Flora ( Buah manggis, truntum, cengkeh) // Kebudayaan (motif kawung)","Purple,Eggplant",Tulis,Katun,Sintetis,Non-geometris,"Menampilkan motif buah manggis, bunga dan daunnya yang rimbun, mencerminkan kesuburan dan kekayaan alam. Warna Purple melambangkan musim panen yang melimpah dan kearifan lokal masyarakat Trenggalek.","Manggis Pecah merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah purple dan eggplant, membentuk motif utama flora  buah manggis, truntum, cengkeh dan kebudayaan motif kawung. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Menampilkan motif buah manggis, bunga dan daunnya yang rimbun, mencerminkan kesuburan dan kekayaan alam. Warna Purple melambangkan musim panen yang melimpah dan kearifan lokal masyarakat Trenggalek.","The batik fabric features the Trenggalek motif, characterized by purple, eggplant motifs. The dominant motifs include mangosteen fruit flora, truntum, cloves and kawung motif culture. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Tiepuk Trenggalek (Manggis Pecah).jpg
Data 3 Batik Tiepuk Malang (Gemah Ripah Jahe Cengkeh),Trenggalek,Gemah Ripah Jahe Cengkeh,"Flora (Tanaman jahe, cengkeh)","Orange, hitam",Cap,Katun,Sintetis,Non-geometris,"Menghadirkan keindahan alam dengan motif akar jahe yang kuat dan bunga cengkeh yang elegan. Perpaduan ini melambangkan ketahanan, kesejahteraan, serta kearifan lokal yang diwariskan dalam budaya batik Trenggalek.","Gemah Ripah Jahe Cengkeh merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah orange dan hitam, membentuk motif utama flora tanaman jahe, cengkeh. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Menghadirkan keindahan alam dengan motif akar jahe yang kuat dan bunga cengkeh yang elegan. Perpaduan ini melambangkan ketahanan, kesejahteraan, serta kearifan lokal yang diwariskan dalam budaya batik Trenggalek.","The batik fabric features the Trenggalek motif, characterized by orange, black motifs. The dominant motifs include flora of ginger plants, cloves. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 3 Batik Tiepuk Malang (Gemah Ripah Jahe Cengkeh).jpg
Data 4 Batik Tiepuk (Akar Cengkeh Turonggo Yakso),Trenggalek,Akar Cengkeh Turonggoyokso,Flora (Tanaman cengkeh) // Kebudayaan (Tari turonggoyokso),"Kuning, hijau",Cap,Katun,Sintetis,Non-geometris,"Terinspirasi dari akar tanaman yang kokoh, melambangkan kekuatan dan kelestarian kebudayaan Trenggalek. Motif yang saling terjalin mencerminkan keterikatan nilai-nilai leluhur, mengajarkan bahwa budaya yang kuat berakar pada tradisi yang dijaga dan diwariskan.","Akar Cengkeh Turonggoyokso merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah kuning dan hijau, membentuk motif utama flora tanaman cengkeh dan kebudayaan tari turonggoyokso. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Terinspirasi dari akar tanaman yang kokoh, melambangkan kekuatan dan kelestarian kebudayaan Trenggalek. Motif yang saling terjalin mencerminkan keterikatan nilai-nilai leluhur, mengajarkan bahwa budaya yang kuat berakar pada tradisi yang dijaga dan diwariskan.","The batik fabric features the Trenggalek motif, characterized by yellow, green motifs. The dominant motifs include clove plant flora and turonggoyokso dance culture. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Tiepuk (Akar Cengkeh Turonggo Yakso).jpg
Data 5 Batik Tiepuk (Kipas Cengkeh),Trenggalek,Kipas Cengkeh,Kebudayaan (motif kipas) // Flora (Cengkeh),"Moss green, hitam",Tulis,Katun,Alam,Non-geometris,"Menampilkan motif kipas yang anggun, melambangkan kesejukan dan ketenangan. Pola yang mengalun lembut mencerminkan harmoni serta keindahan dalam kehidupan","Kipas Cengkeh merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah moss green dan hitam, membentuk motif utama kebudayaan motif kipas dan flora cengkeh. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Menampilkan motif kipas yang anggun, melambangkan kesejukan dan ketenangan. Pola yang mengalun lembut mencerminkan harmoni serta keindahan dalam kehidupan","The batik fabric features the Trenggalek motif, characterized by moss green, black motifs. The dominant motifs include fan motif culture and clove flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Tiepuk (Kipas Cengkeh).jpg
Data 6 Batik Tiepuk (Nyi Loro Klandon),Trenggalek,Nyi Loro Klandon,"Fauna (Gajah) // Kebudayaan (Motif manusia) // Flora (Melon, tembakau, truntum)","Hitam / Black, coklat terang / bright brown",Tulis,Katun,Sintetis,Non-geometris,"Batik Nyi Loro Klandon menggambarkan kisah pengkhianatan terhadap Minak Sopal melalui motif bunga yang yang anggun, sebagai simbol tipu daya, serta siluet sosok misterius. Pola dinamis mencerminkan ketegangan legenda, sementara warna kontras melambangkan ambisi, pengkhianatan, dan konsekuensi dari tindakan yang tidak setia.","Nyi Loro Klandon merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah hitam dan coklat terang, membentuk motif utama fauna gajah, kebudayaan motif manusia dan flora melon, tembakau, truntum. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Batik Nyi Loro Klandon menggambarkan kisah pengkhianatan terhadap Minak Sopal melalui motif bunga yang yang anggun, sebagai simbol tipu daya, serta siluet sosok misterius. Pola dinamis mencerminkan ketegangan legenda, sementara warna kontras melambangkan ambisi, pengkhianatan, dan konsekuensi dari tindakan yang tidak setia.","The batik fabric features the Trenggalek motif, characterized by black, bright brown motifs. The dominant motifs include elephant fauna, culture of human motives and melon flora, tobacco, truntum. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 6 Batik Tiepuk (Nyi Loro Klandon).jpg
Data 7 Batik Tiepuk (Sulur Anggrek Cengkeh),Trenggalek,Sulur Anggrek Cengkeh,"Flora (Tanaman sulur, cengkeh, anggrek)","kuning emas, hitam",Tulis,Katun,Sintetis,Non-geometris,"Batik Anggrek menghadirkan motif anggrek yang elegan, melambangkan keteguhan dan kepercayaan diri. Pola kelopak yang mekar mencerminkan harapan dan ketulusan, sementara perpaduan warna lembut dan tegas menggambarkan keseimbangan antara keindahan","Sulur Anggrek Cengkeh merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah kuning emas dan hitam, membentuk motif utama flora tanaman sulur, cengkeh, anggrek. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Batik Anggrek menghadirkan motif anggrek yang elegan, melambangkan keteguhan dan kepercayaan diri. Pola kelopak yang mekar mencerminkan harapan dan ketulusan, sementara perpaduan warna lembut dan tegas menggambarkan keseimbangan antara keindahan","The batik fabric features the Trenggalek motif, characterized by golden yellow, black motifs. The dominant motifs include flora of vines, cloves, orchids. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 7 Batik Tiepuk (Sulur Anggrek Cengkeh).jpg
Data 8 Batik Tiepuk (Kapur Sirih),Trenggalek,Kapur Sirih,Flora (Tanaman sirih kapur) // Kebudayaan (Tugu kebudayaan),"Merah tua, Kuning",Tulis,Katun,Sintetis,Non-geometris,"Mengusung kecantikan daun sirih sebagai latar belakang pembuatan motif, simbol keharmonisan dan kasih sayang","Kapur Sirih merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah merah tua dan kuning, membentuk motif utama flora tanaman sirih kapur dan kebudayaan tugu kebudayaan. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Mengusung kecantikan daun sirih sebagai latar belakang pembuatan motif, simbol keharmonisan dan kasih sayang","The batik fabric features the Trenggalek motif, characterized by dark red, yellow motifs. The dominant motifs include lime betel plant flora and cultural monument culture. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Tiepuk (Kapur Sirih).jpg
Data 9 Batik Tiepuk (Semen Romo),Trenggalek,Semen Romo,Flora (Tanaman cengkeh) ,"Coklat susu, Merah jingga",Tulis,Katun,Alam,geometris,"Batik Sayap Klasik menghadirkan motif sayap yang elegan, melambangkan kebebasan, harapan, dan kejayaan. Pola simetris menciptakan kesan anggun dan megah, sementara sentuhan klasik mencerminkan warisan budaya yang abadi","Semen Romo merupakan mahakarya kelas Batik Trenggalek dengan tata letak geometris. Warna yang digunakan adalah coklat susu dan merah jingga, membentuk motif utama flora tanaman cengkeh. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Batik Sayap Klasik menghadirkan motif sayap yang elegan, melambangkan kebebasan, harapan, dan kejayaan. Pola simetris menciptakan kesan anggun dan megah, sementara sentuhan klasik mencerminkan warisan budaya yang abadi","The batik fabric features the Trenggalek motif, characterized by milk chocolate, orange red motifs. The dominant motifs include clove plant flora. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 9 Batik Tiepuk (Semen Romo).jpg
Data 10 Batik Tiepuk (Njunjung Derajat Gemah Ripah),Trenggalek,Njunjung Derajat Gemah Ripah,"Flora (Tanaman Empon-empon, cengkeh)","Merah, kuning",Tulis,Katun,Sintetis,Non-geometris,"Terisnpirasi dari jamu tradisional yang menggambarkan warisan budaya jamu melalui motif tanaman herbal seperti jahe, kunyit, dan daun sirih. Pola alami melambangkan kesehatan dan kearifan lokal","Njunjung Derajat Gemah Ripah merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah merah dan kuning, membentuk motif utama flora tanaman empon-empon, cengkeh. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Terisnpirasi dari jamu tradisional yang menggambarkan warisan budaya jamu melalui motif tanaman herbal seperti jahe, kunyit, dan daun sirih. Pola alami melambangkan kesehatan dan kearifan lokal","The batik fabric features the Trenggalek motif, characterized by red, yellow motifs. The dominant motifs include empon-empon plant flora, cloves. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 10 Batik Tiepuk (Njunjung Derajat Gemah Ripah).jpg
Data 11 Batik Tiepuk (Turonggo Yakso Abstrak),Trenggalek,Turonggoyakso Abstrak,Flora (Tanaman cengkeh) // Makanan (...) // Kebudayaan (Tari turonggoyakso),"Hitam, coklat susu, biru",Tulis,Katun,Alam,Non-geometris,"Turonggoyakso Trenggalek menghadirkan keanggunan seni tari tradisional melalui motif. Mencerminkan kelembutan serta kekompakan, sementara perpaduan warna mencerminkan semangat dan keceriaan, menggambarkan keindahan budaya yang terus lestari","Turonggoyakso Abstrak merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah hitam dan coklat susu dan biru, membentuk motif utama flora tanaman cengkeh, makanan ... dan kebudayaan tari turonggoyakso. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Turonggoyakso Trenggalek menghadirkan keanggunan seni tari tradisional melalui motif. Mencerminkan kelembutan serta kekompakan, sementara perpaduan warna mencerminkan semangat dan keceriaan, menggambarkan keindahan budaya yang terus lestari","The batik fabric features the Trenggalek motif, characterized by black, milk chocolate, blue motifs. The dominant motifs include clove plant flora, food ... and turonggoyakso dance culture. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 11 Batik Tiepuk (Turonggo Yakso Abstrak).jpg
Data 12 Batik Tiepuk (Ayam Bekisar),Trenggalek,Ayam Bekisar Sulur Cengkeh,"Fauna (Ayam bekisar) // Flora (Tanaman cengkeh, sulur)","Merah gelap/Deep red, Krem/cream, Golden yellow",Tulis,Katun,Alam,Non-geometris,"Terinspirasi dari ayam bekisar yang menggambarkan kekuatan dan kegigihan melalui motif ayam yang gagah sebagai simbol keberanian, serta sulur yang menjalar melambangkan semangat pantang menyerah. Perpaduan pola dinamis mencerminkan ketekunan dalam menghadapi tantangan","Ayam Bekisar Sulur Cengkeh merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah merah gelap dan krem dan golden yellow, membentuk motif utama fauna ayam bekisar dan flora tanaman cengkeh, sulur. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Terinspirasi dari ayam bekisar yang menggambarkan kekuatan dan kegigihan melalui motif ayam yang gagah sebagai simbol keberanian, serta sulur yang menjalar melambangkan semangat pantang menyerah. Perpaduan pola dinamis mencerminkan ketekunan dalam menghadapi tantangan","The batik fabric features the Trenggalek motif, characterized by deep red, cream, golden yellow motifs. The dominant motifs include bekisar chicken fauna and clove plant flora, tendrils. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 12 Batik Tiepuk (Ayam Bekisar).jpg
