name,class,image_path,caption_en,split,philosophy_en,philosophy_core
Liris kopi,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Wagastu (Liris Kopi).jpg,"The batik fabric features the Malang motif, characterized by brick red, yellow motifs. The dominant motifs include coffee plant and lirispattern. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"The natural beauty and glory of coffee in Dampit village which is known as the coffee center in Malang. This motif depicts the expanse of coffee plantations, the harvest process, and the spirit of farmers.",
Bledak Bouquet,Trenggalek,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 12 Batik Rahayu (Bledak Bouket).jpg,"The batik fabric features the Trenggalek motif, characterized by brown, green, black motifs. The dominant motifs include bouquet flowers. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Depicts a spiritual journey through blooming floral motifs, symbolizing the cleansing of the soul and renewal of life. The harmonious pattern reflects sincerity, calm and balance, conveying a deep meaning of consciousness and purity of heart.",
Merak,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 29 Batik Kantil (Merak).jpg,"The batik fabric features the Malang motif, characterized by brown, blue motifs. The dominant motifs include lotus, kantil and peacock. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"This batik motif was inspired by the beauty of the peacock that batik makers encountered when visiting the Pasuruan Zoo. The graceful pattern of a peacock's flowing tail is combined with traditional elements, creating an elegant design that reflects the beauty and splendor of nature.",
Komposisi Liris dan Bunga,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 20 Batik Wagastu (Komposisi Liris dan Bunga).jpg,"The batik fabric features the Malang motif, characterized by chocolate, orange motifs. The dominant motifs include purple mallow plants and liris pattern. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"The beauty of various flowers blooming in Purwodadi Park symbolizes life, beauty and natural harmony.",
Bapang Bonpring,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 14 Batik Soendari (Bapang Bonpring).jpg,"The batik fabric features the Malang motif, characterized by blue, cream motifs. The dominant motifs include bamboo and bapang mask. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Inspired by the largest bamboo garden / bamboo arboretum in Indonesia in Turen District, Malang Regency. This bamboo motif is combined with the Bapang mask, which is the mask that most often appears at Malang mask shows",
Padma Gradasi,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 17 Batik Soendari (Padma Gradasi).jpg,"The batik fabric features the Malang motif, characterized by dark green, yellow motifs. The dominant motifs include lotus. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Raised Padma as an icon of the city of Malang (2000s) which was made using a gradation technique.,
Bunga Sepatu dan Isen-isen,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 30 Batik Kantil (Bunga Sepatu dan Isen-isen).jpg,"The batik fabric features the Malang motif, characterized by brown, pink peach motifs. The dominant motifs include hibiscus. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Inspired when walking through the flower garden in Selecta, Batu City, seeing hibiscus flowers growing abundantly and exuding beauty.",
Gandring Wirasena Hambangun Negari,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 20 Batik Blimbing (Gandring Wirasena Hambangun Negari).jpg,"The batik fabric features the Malang motif, characterized by brown, pink motifs. The dominant motifs include mask, sekarjagat. The motifs are arranged in a simetris pattern across the fabric, creating a harmonious and balanced composition.",train,The Sekarjagad motif (a combination of 7 floral motifs in one image) combined with a Malang mask,
Sekar Jagad Puspakartika,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 6 Batik Bengkel (Sekar Jagad Puspakartika).jpg,"The batik fabric features the Malang motif, characterized by black, green motifs. The dominant motifs include rose, anggrek. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Inspired by flowers when walking to Purwodadi Park - Inspired by the beauty of flowers when walking in Purwodadi Park, their colors and shapes create a deep impression, bringing fresh ideas to life which are reflected in works of art and creativity.",
Cumi-cumi,Tulungagung,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 9 Batik Baronggung (Cumi-Cumi).jpg,"The batik fabric features the Tulungagung motif, characterized by chocolate, yellow motifs. The dominant motifs include squid. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Inspired by the marine riches of Tulungagung City. By featuring squid as the main motif in it.,
Batik Sulur,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 3 Batik Sukun (Batik Sulur).jpg,"The batik fabric features the Malang motif, characterized by brown motifs. The dominant motifs include breadfruit leaf, buah pohon sukun. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Inspired by the words ""vines"" and ""breadfruit leaves"" as medicine. These two words have interconnected meanings, namely as a lifeline and survival during the Corona Pandemic.",
Biota Laut,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 22 Batik Soendari (Biota Laut).jpg,"The batik fabric features the Malang motif, characterized by dark blue, black motifs. The dominant motifs include sea plants and seaturtle. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Inspired by the South Malang area where there are many beaches and wanting to highlight the charm of Malang's sea.,
Teratai Sili,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 9 Teratai Sili.jpg,"The batik fabric features the Lamongan motif, characterized by black, yellow, green motifs. The dominant motifs include lotus and fire eel. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Sily fish which is characteristic of Lamongan/ Fire eel, which is a characteristic of Lamongan/ ファイアーイールラモンガンの特徴です。",
Pagi Sore Lereng Apel,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Soendari (Pagi Sore Lereng Apel).jpg,"The batik fabric features the Malang motif, characterized by brown, gold motifs. The dominant motifs include apple. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Malang is the only area in Indonesia that has apple plantations. Therefore, apples have become one of the icons of Malang.",
Kebun Apel,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 11 Batik Wagastu (Kebun Apel).jpg,"The batik fabric features the Malang motif, characterized by chocolate, red motifs. The dominant motifs include apple tree. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Apple Garden Batik is inspired by the beauty of apple orchards in Batu City which are bearing abundant fruit, symbolizing fertility, prosperity and the results of perseverance.",
Komposisi Panji dan Sekartaji Kasmaran,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 17 Batik Wagastu (Komposisi Topeng Panji dan Sekartaji Kasmaran).jpg,"The batik fabric features the Malang motif, characterized by navy blue, magenta motifs. The dominant motifs include mask, topeng sekarjati. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Making batik motifs inspired by mask performances as part of the culture of Malang City. The Malangan mask, with its strong, expressive and philosophical characteristics, was the main source of inspiration in the process of creating this batik motif.",
Bandeng Lele Daun Kates,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060302_2025_Bandeng Lele Kembang Kates_FLORA_FAUNA.jpg,"The batik fabric features the Lamongan motif, characterized by green, golden brown, black motifs. The dominant motifs include papaya leaves and milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Kates leaves have many benefits and grow widely around the village combined with the Lamongan icon,
Parang Janaka,Trenggalek,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 22 Batik Rahayu (Parang Janaka).jpg,"The batik fabric features the Trenggalek motif, characterized by black, ocher yellow motifs. The dominant motifs include machete motif, kawung. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Inspired by the gurdo in temple reliefs which symbolizes strength, courage, toughness and balance. The dashing pattern reflects fighting spirit and wisdom, bringing harmony between power and virtue in every aspect of life",
Heritage Of Malang,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Blimbing (Heritage of Malang).jpg,"The batik fabric features the Malang motif, characterized by brown, fuschia motifs. The dominant motifs include lotus, bunga melati and malang monument. The motifs are arranged in a simetris pattern across the fabric, creating a harmonious and balanced composition.",train,"With a cityscape theme; Famous buildings in Malang City such as Malang Station, Plaza Sarinah, Badut Temple, Corjesu Church, Ijen Church, City Hall, Jami Mosque, Toko Oen (an ice cream shop since the Dutch colonial era), Colorful Village, Tugu Malang",
Kepiting Rowo Sisik Ikan,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Tutut Data 1 Kepiting Rowo Sisik Nogo.jpg,"The batik fabric features the Lamongan motif, characterized by orange, brown, black motifs. The dominant motifs include crab. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Maritime potential of northern coastal life,
Parang Sulur Kembang Sepatu,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 1 Parang Sulur Kembang Sepatu.jpg,"The batik fabric features the Lamongan motif, characterized by green, black motifs. The dominant motifs include parang and hibiscus tendrils. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,A homely atmosphere creates tranquility./A simple atmosphere brings peace of mind./ 素朴な雰囲気は安らぎを生み出します。,
Junjung Drajat Nam Katil,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060303_Junjung Drajat Nam Katil_2025_CLASSIC.jpg,"The batik fabric features the Lamongan motif, characterized by white, maroon motifs. The dominant motifs include nam. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,A classic motif typical of Sendang Duwur that has been passed down from generation to generation,
Kedawung,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 5 Kedawung.jpg,"The batik fabric features the Lamongan motif, characterized by black, sogam, navy blue motifs. The dominant motifs include kedaung tree. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Inspired by kedawung seeds/ Inspired by kedawung seeds/ ケダワゥンの種から着想を得た,
Bandeng Lele Eceng Gondok,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mutiara S Data 3 Bandeng Lele Enceng Gondok.jpg,"The batik fabric features the Lamongan motif, characterized by olive green, green, red, brown, black, white motifs. The dominant motifs include milkfish and catfish and water hyacinth. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Living side by side with Flora and Fauna./ Living alongside Flora and Fauna/ 動植物と共生する生活。,
Lituhaya Prameswari,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 11 Batik Blimbing (Lituhaya Prameswari).jpg,"The batik fabric features the Malang motif, characterized by red, white motifs. The dominant motifs include rice plant, bunga kamboja, weaver bird and mask dancers, topeng malang. The motifs are arranged in a simetris pattern across the fabric, creating a harmonious and balanced composition.",train,"With the theme of beautiful mask dancers and combined with the icon of the Malang city, Burung Manyar.",
Putihan Pagi Sore (Burung dan Kipas),Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 3 Putihan Pagi Sore (Burung-Kipas).jpg,"The batik fabric features the Lamongan motif, characterized by black, red, white motifs. The dominant motifs include bird and folding fan. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"The cycle of life symbolized by the duality of day and night, light and darkness/ 昼と夜、光と闇の二元性で象徴される生命の循環。",
Sidoluhur Rawan,Trenggalek,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 21 Batik Tiepuk (Sidoluhur Rawan).jpg,"The batik fabric features the Trenggalek motif, characterized by black, moss green motifs. The dominant motifs include water culture and floral flora.... The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Harmony between land, swamp and sea through motifs of waves, plant tendrils and land contours. The unified pattern reflects the balance of nature, while the combination of natural colors represents the diversity of ecosystems and dynamic life.",
Parang Garudeya Truntum,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 12 Batik Krajan (Parang Garudeya Truntum).jpg,"The batik fabric features the Malang motif, characterized by army green, red motifs. The dominant motifs include トゥルントゥム文様 and ガルデヤ. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,This motif was specifically designed for the Dekranasda Fest event in December 2024,
Daniswara Ardhani,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 21 Batik Blimbing (Daniswara Ardhani).jpg,"The batik fabric features the Malang motif, characterized by black, blue motifs. The dominant motifs include mask, sekarjagat, api. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Dewi Sekartaji's poor mask. Dewi Sekartaji is the daughter of the king of the Kediri kingdom whose real name is Putri Galuh Candra Kirana. The figure of Dewi Sekartaji in the Malang mask dance performance symbolizes the goodness and beauty of Javanese women,
Palma,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Wagastu (Palma).jpg,"The batik fabric features the Malang motif, characterized by mahogany brown, yellow motifs. The dominant motifs include palm tree. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Palm trees depict religious and cultural harmony in Malang City, a city known for its diversity and harmony. The palm tree, with its sturdy shape and leaves reaching out in all directions, symbolizes unity.",
Padma Manyar,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 16 Batik Soendari (Padma Manyar).jpg,"The batik fabric features the Malang motif, characterized by chocolate, red motifs. The dominant motifs include lotus and weaver bird. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"The Manyar bird was approved as an icon of the city of Malang in 2016. Based on the Decree of the Governor of East Java number 5225/16774/032/1996, this special bird with the scientific name Pioceus Manyar has been designated as a characteristic of the fauna of Malang City. This Manyar motif is combined with the padma motif which is the icon of Sundari batik.",
Padma Manyar (Teratai dan burung manyar),Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 3 Batik Soendari (Padma Manyar).jpg,"The batik fabric features the Malang motif, characterized by blue, red motifs. The dominant motifs include lotus and weaver bird. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,The dominant blue color is a symbol of Arema (Malang football club) and red symbolizes the lotus flower (which is often found in the Tugu pond in Malang city),
Junjung Derajat Rahayu,Trenggalek,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 28 Batik Rahayu (Junjung Derajat Rahayu).jpg,"The batik fabric features the Trenggalek motif, characterized by turquoise, red motifs. The dominant motifs include jasmine flower flora, cloves. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"sacred motifs that symbolize respect for ancestors and the Creator. The harmonious pattern reflects prayer, wisdom, and gratitude, illustrating the eternal spiritual bonds in human life.",
Anggrek,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 25 Batik Kantil (Anggrek).jpg,"The batik fabric features the Malang motif, characterized by brick red, purple motifs. The dominant motifs include orchid flower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Inspired when walking through the flower gardens in the city of Batu, seeing orchids growing abundantly and exuding beauty. However, its beauty is not eternal, teaching that beauty is temporary, but its meaning can be immortalized in a work of batik art.",
Penyu Prigi,Trenggalek,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 14 Batik Rahayu (Penyu Prigi).jpg,"The batik fabric features the Trenggalek motif, characterized by red, purple motifs. The dominant motifs include mangosteen and turtle. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"The Kili-Kili turtle motif and the mangosteen fruit symbolize the preservation of nature and the richness of Trenggalek. The harmonious pattern reflects ecosystem balance, sustainability, and the close connection between humans and nature in coastal life.",
Kembang Sepatu Kombinasi Mawar,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060310_Kembang Sepatu Kombinasi Mawar_2025_FLORA.jpg,"The batik fabric features the Lamongan motif, characterized by olive green motifs. The dominant motifs include hibiscus. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Inspired by plants that are often found in home gardens,
Garudo Parang Melingkar,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/FC Data 6 Garudo Parang Melingkar.jpg,"The batik fabric features the Lamongan motif, characterized by red, black, brown motifs. The dominant motifs include garuda and parang melingkar. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,The story of Garudea's struggle to free his mother from slavery so persistently.,
Gelombang Cinta,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 3 Batik Wagastu (Gelombang Cinta).jpg,"The batik fabric features the Malang motif, characterized by chocolate, red motifs. The dominant motifs include love wave plant. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"The Wave of Love batik is inspired by the beauty of the waves on Malang Regency's own beach which symbolizes the strength and sincerity of love. This motif developed from a combination of dynamic coastal batik styles and classic batik which is full of philosophy. With a harmonious rippling pattern, this batik represents an eternal and meaningful journey of love.",
Relief Gapuro Sendang Duwur,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 2 Relief Gapura Sendang Dhuwur.jpg,"The batik fabric features the Lamongan motif, characterized by greenish brown, cream motifs. The dominant motifs include gapuro sendang duwur. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,The atmosphere around Sendang Duwur tomb./ センダン・ドゥウル墓地の雰囲気,
Kepetan (Kipas),Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Chotifa_35241420060105_Kepetan (Kipas)_2025_CULTURE.jpg,"The batik fabric features the Lamongan motif, characterized by white, red, black motifs. The dominant motifs include kepetan. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"The kepetan or fan motif symbolizes coolness and protection. This motif teaches about the importance of maintaining a humble attitude and spreading goodness, like the coolness brought by a gust of wind.",
Sulur Anggrek Cengkeh,Trenggalek,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 7 Batik Tiepuk (Sulur Anggrek Cengkeh).jpg,"The batik fabric features the Trenggalek motif, characterized by golden yellow, black motifs. The dominant motifs include flora of vines, cloves, orchids. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Batik Anggrek presents an elegant orchid motif, symbolizing firmness and self-confidence. The blooming petal pattern reflects hope and sincerity, while the mix of soft and bold colors depicts a balance of beauty",
Srikit Kantil,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 14 Batik Kantil (Srikit Kantil).jpg,"The batik fabric features the Malang motif, characterized by brown, green motifs. The dominant motifs include chrysanthemum flower, bunga matahari. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"This batik displays a complex pattern composition with a diagonal arrangement containing floral and leaf motifs in various colors, including blue, purple, orange and green, inspired by the Srikit batik motifs of Kebumen Regency. The conical shape has a philosophy of traveling to the highest peak.",
Bunga Mega Mendung,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Krajan (Bunga Mega Mendung).jpg,"The batik fabric features the Malang motif, characterized by brown, white motifs. The dominant motifs include flower, a pair of peacocks and awan mega mendung pattern. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"This batik motif was made based on a request from Perum BULOG (logistics agency, a state-owned company that handles food issues)",
Batik Lukis daun teh dan embun,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 16 Batik Lana (Daun teh dan embun).jpg,"The batik fabric features the Malang motif, characterized by green motifs. The dominant motifs include teh leaf. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Inspired by tea leaves from the Wonosari tea garden and dew balls in the morning.,
Kupu-kupu Musim Semi,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Wagastu (Kupu-kupu Musim Semi).jpg,"The batik fabric features the Malang motif, characterized by brick red, turquoise motifs. The dominant motifs include monstera deliciosa and butterfly. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Spring Butterfly Batik symbolizes beauty, transformation and new life. Inspired by butterflies that bloom during the fruit season in Malang, this motif reflects hope and awakening.",
batik kucecwara,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 6 Batik Sukun (Batik Kucecwara).jpg,"The batik fabric features the Malang motif, characterized by red, white motifs. The dominant motifs include lotus, trembesi, cendrawasih bird, kawung, truntum and malang monument. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Kucecwara which means extraordinary, the bird of paradise which gives a beautiful and charming impression, the lotus flower symbolizes that humans need each other and are mutually beneficial to others, as well as the truntum motif as a symbol of affection. The red color in the background is a commemoration of Indonesia's independence day and the hope that the people of Malang can live in harmony and peace in diversity, which is visualized through various symbols in the motif.",
Sekartaji Bonpring,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 19 Batik Soendari (Sekartaji Bonpring).jpg,"The batik fabric features the Malang motif, characterized by yellow, red motifs. The dominant motifs include bamboo and sekartaji mask. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Exploration of the District's wealth. Malang has the largest bamboo arboretum in Indonesia. This motif is combined with the Sekartaji mask (the mask of Dewi Sekartaji, daughter of the king of Kediri, which often appears in Malang mask dance performances)",
Bandeng Lele Kawung Mlaten,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/FC Data 3 Bandeng Lele Kawung Mlaten.jpg,"The batik fabric features the Lamongan motif, characterized by brown, red, black, white motifs. The dominant motifs include milkfish and catfish and palm seed and jasmine. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,About life decorated with noble values ​​as a view of life.,
Penyu Klasik,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Kantil (Penyu Klasik).jpg,"The batik fabric features the Malang motif, characterized by blue, cream motifs. The dominant motifs include sea turtle. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"This batik motif was inspired by turtles when visiting a turtle conservation on the coast of Malang Regency, East Java. See the turtle conservation process from turtle eggs to releasing turtles into their natural habitat.",
Komposisi Topeng Tukaran,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 16 Batik Wagastu (Komposisi Topeng Tukaran).jpg,"The batik fabric features the Malang motif, characterized by brick red, blue spectrum motifs. The dominant motifs include coral vine plant, carolina plant and mask. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Making batik motifs inspired by mask performances as part of the culture of Malang City. The Malangan mask, with its strong, expressive and philosophical characteristics, was the main source of inspiration in the process of creating this batik motif.",
Watu Pecah,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Tutut Data 9 Watu Pecah.jpg,"The batik fabric features the Lamongan motif, characterized by red, chocolate, blue motifs. The dominant motifs include cracked stone. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Inspired by the dominant limestone soil element,
