No.,Class,Asal,Philosophy_Core,Variasi 1,Variasi 2,Variasi 3
11,Sidoluhur,Jawa Tengah,"noble character, moral elevation, dignity, exemplary conduct","Traditionally, the Sidoluhur motif symbolizes noble character, moral elevation, and dignified exemplary conduct.","In Javanese tradition, the Sidoluhur motif represents the pursuit of virtue, dignified conduct, and the honour of righteous leadership.","The philosophical meaning of the Sidoluhur motif reflects noble character, moral elevation, and the aspiration for dignified conduct."
12,Sidomukti,Solo / Surakarta,"enduring happiness, fulfilment, prosperity, spiritual wholeness","Traditionally, the Sidomukti motif symbolizes enduring happiness, fulfilment, and spiritual wholeness.","In Surakarta court tradition, the Sidomukti motif represents prosperity, inner contentment, and the blessing of a flourishing life.","The philosophical meaning of the Sidomukti motif reflects enduring happiness, fulfilment, prosperity, and spiritual wholeness."
13,Sidomulyo,Mataram / Jawa Tengah,"glory, enduring honour, inner mastery, dignified life","Traditionally, the Sidomulyo motif symbolizes glory, enduring honour, and a life of inner mastery.","In Javanese Mataram tradition, the Sidomulyo motif represents continuous glory, dignified life, and the mastery of one's inner impulses.","The philosophical meaning of the Sidomulyo motif reflects glory, enduring honour, and the pursuit of a dignified life."
14,Singa Barong,Cirebon,"mythological power, elemental unity, visionary leadership, sacred authority","Traditionally, the Singa Barong motif symbolizes mythological power, elemental unity, and visionary leadership.","In Cirebonese court culture, the Singa Barong motif represents sacred authority, the harmony of natural forces, and complete sovereignty.","The philosophical meaning of the Singa Barong motif reflects mythological power, elemental unity, and visionary leadership."
15,Srikaton,Jawa Tengah,"divine radiance, natural abundance, resilience, visible grace","Traditionally, the Srikaton motif symbolizes divine radiance, natural abundance, and resilient grace.","In Javanese tradition, the Srikaton motif represents visible grace, the flourishing of nature, and the strength to overcome adversity.","The philosophical meaning of the Srikaton motif reflects divine radiance, natural abundance, and resilience."
16,Tribusono,Solo / Surakarta,"regeneration, harmony, cultural continuity, ecological awareness","Traditionally, the Tribusono motif symbolizes regeneration, harmony, and the continuity of cultural values.","In Surakarta batik tradition, the Tribusono motif represents the balance of physical, social, and spiritual dimensions of life.","The philosophical meaning of the Tribusono motif reflects regeneration, cultural harmony, and ecological awareness."
17,Tujuh Rupa,Pekalongan,"eloquence, adaptability, cultural openness, peaceful diversity","Traditionally, the Tujuh Rupa motif symbolizes eloquence, adaptability, and peaceful cultural diversity.","In Pekalongan's coastal tradition, the Tujuh Rupa motif represents openness to the world, graceful adaptability, and harmony across cultures.","The philosophical meaning of the Tujuh Rupa motif reflects eloquence, adaptability, and the richness of peaceful cultural exchange."
18,Truntum,Solo / Surakarta,"sincere love, devotion, renewal of affection, patience","Traditionally, the Truntum motif symbolizes sincere love, quiet devotion, and the renewal of affection.","In Surakarta royal tradition, the Truntum motif represents unconditional love, the rekindling of affection, and parental guidance.","The philosophical meaning of the Truntum motif reflects sincere love, quiet devotion, and renewal of affection through patience."
19,Wahyu Tumurun,Yogyakarta / Solo,"divine grace, spiritual guidance, noble aspiration, heavenly blessing","Traditionally, the Wahyu Tumurun motif symbolizes divine grace, spiritual guidance, and noble aspiration.","In Javanese royal tradition, the Wahyu Tumurun motif represents the descent of divine favour, noble ambition, and spiritual guidance.","The philosophical meaning of the Wahyu Tumurun motif reflects divine grace, spiritual guidance, and noble aspiration."
20,Wirasat,Jawa Tengah,"fulfilment of wishes, elevated standing, sufficiency, parental blessing","Traditionally, the Wirasat motif symbolizes the fulfilment of wholesome wishes, elevated standing, and life's sufficiency.","In Javanese tradition, the Wirasat motif represents the parental blessing for a new household — prosperity, dignity, and answered prayers.","The philosophical meaning of the Wirasat motif reflects the fulfilment of wishes, elevated standing, and life's sufficiency."
