CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY
Data 16 Batik Rahayu (Sergung Kawung Pala),Trenggalek,Sergung Kawung Pala,"FLORA (Pala/Nutmeg, Bunga/Flower) // CULTURE (Kawung)",Merah/Red,Tulis,Primisima,Sintetis,Geometris,"Menampilkan motif serat yang saling terkait erat, melambangkan keterhubungan dan solidaritas. Pola yang terjalin rapi mencerminkan kekuatan dalam kebersamaan, menciptakan harmoni serta keindahan, sekaligus menggambarkan nilai persatuan."
Data 17 Batik Rahayu (Gringsing Satrio Manah),Trenggalek,Gringsing Satrio Manah,CULTURE (Satrio Manah),Coklat Sogan. Hijau/Green,Tulis,Primisima,Sintetis,Non-geometris,"Terinspirasi dari tokoh pewayangan yang melambangkan ketepatan, kebijaksanaan, dan tujuan mulia. Motif panah dan busur mencerminkan fokus dan tekad, sementara pola dinamis menggambarkan perjalanan menuju keberhasilan dengan keberanian"
Data 18 Batik Rahayu (Sekar Jagat Rahayu),Trenggalek,Sekar Jagad Rahayu,"FLORA (Kembang jeruk, truntum, cengkeh)","Coklat sogan, hitam",Tulis,Primisima,Sintetis,Non-geometris,"Motif bunga yang mekar anggun, melambangkan keindahan dan kebahagiaan dalam pernikahan. Pola harmonis mencerminkan cinta, kesucian, dan harapan akan kehidupan penuh berkah"
Data 19 Batik Rahayu (Turonggo Yakso),Trenggalek,Turonggo Yakso,"CULTURE (Tari, kendang)","Biru, oren",Tulis,Primisima,Sintetis,Non-geometris,"Menggambarkan keperkasaan dan keindahan seni tradisional melalui motif kuda, kendang dan gerakan tari yang dinamis. Pola energik melambangkan semangat, keberanian, serta warisan budaya yang tetap lestari sepanjang zaman."
Data 20 Batik Rahayu (Wiji Timun Suluran),Trenggalek,Wiji Timun Suluran,"FLORA (Bunga bouquet, sulur, cengkeh)","coklat sogan, hitam",Tulis,Primisima,Alam,Non-geometris,"Motif batik Wiji Timun Suluran menampilkan perpaduan bentuk biji timun (wiji timun) dengan suluran tanaman yang menjalar dan saling terhubung. Biji timun dalam tradisi Jawa melambangkan kesuburan, harapan, dan potensi kehidupan baru, sementara suluran tanaman menggambarkan kelenturan, kesinambungan, dan keterhubungan antar unsur kehidupan. Secara filosofis, motif ini mengajarkan tentang keselarasan hidup: bagaimana manusia harus menjaga keseimbangan dengan lingkungan, membangun hubungan yang rukun, serta senantiasa menumbuhkan kebaikan dalam kehidupan bersama."
Data 21 Batik Rahayu (Kawung Kopi Pecah),Trenggalek,Kawung Kopi Pecah,"FLORA (Cengkeh,Biji kopi)","Oren, hitam",Tulis,Primisima,Sintetis,Geometris,"Terinspirasi dari kegiatan petani kopi saat memetik kopi di kebun. melambangkan pengorbanan dan kerja keras petani. Pola alami mencerminkan kesabaran, dedikasi, serta kehangatan"
Data 22 Batik Rahayu (Parang Janaka),Trenggalek,Parang Janaka,"CULTURE (Motif parang, kawung)","Hitam, Kuning Oker",Tulis,Primisima,Sintetis,Geometris,"Terinspirasi dari gurdo dalam relief candi yang melambangkan kekuatan, keberanian, ketangguhan, dan keseimbangan. Pola gagah mencerminkan semangat juang dan kebijaksanaan, menghadirkan harmoni antara kekuasaan dan kebajikan dalam setiap aspek kehidupan"
Data 23 Batik Rahayu (Parang Rahayu),Trenggalek,Parang Rahayu,"FLORA (cengkeh, truntum) // CULTURE (Motif gurdo)","Coklat, coklat tua",Tulis,Primisima,Alam,Geometris,"Terinspirasi dari gurdo dalam relief candi yang melambangkan kekuatan, keberanian, ketangguhan, dan keseimbangan. Pola gagah mencerminkan semangat juang dan kebijaksanaan, menghadirkan harmoni antara kekuasaan dan kebajikan dalam setiap aspek kehidupan"
Data 24 Batik Rahayu (Arjuna),Trenggalek,Arjuno,"CULTURE (Wayang, Motif kawung)","Coklat, coklat tua",Tulis,Primisima,Alam,Non-geometris,"Terinspirasi dari pertunjukan wayang kulit di desa. Pola dinamis mencerminkan kearifan lokal, nilai-nilai kehidupan, serta kehangatan kebersamaan dalam menikmati seni tradisional yang sarat makna dan filosofi."
Data 25 Batik Rahayu (Sido Luhur),Trenggalek,Sido Luhur,CULTURE (Motif Gurdo),"Coklat, hitam",Tulis,Primisima,Sintetis,Non-geometris,"Mencerminkan keluhuran, keagungan, dan kehormatan melalui motif yang elegan dan simetris. Pola yang anggun melambangkan kebijaksanaan serta martabat tinggi, menghadirkan harapan akan kehidupan yang sejahtera dan bermakna bagi pemakainya"
Data 26 Batik Rahayu (Sido Mukti Rahayu),Trenggalek,Sido Mukti Rahayu,"FLORA (bunga anggrek, cengkeh) // CULTURE (Motif sido mukti)",Sogan coklat,Tulis,Primisima,Sintetis,Non-geometris,"Menghadirkan motif yang melambangkan harapan, kebahagiaan, dan kebaikan. Pola harmonis mencerminkan keseimbangan hidup, keberuntungan, serta energi positif"
Data 27 Batik Rahayu (Mustika Ayu),Trenggalek,Mustika Ayu,Flora (Bunga mahkota) // Kebudayaan (Motif kawung),"Coklat tua, coklat muda",Tulis,Primisima,Alam,Non-geometris,"Motif megah yang terinspirasi dari mahkota putri raja, melambangkan kejayaan dan kewibawaan. Pola anggun mencerminkan keagungan, kehormatan, serta kebijaksanaan dalam menjalani kehidupan yang penuh kemuliaan"
Data 28 Batik Rahayu (Junjung Derajat Rahayu),Trenggalek,Junjung Derajat Rahayu,"Flora (bunga melati, cengkeh)","Tosca, merah",Tulis,Primisima,Sintetis,Geometris,"motif sakral yang melambangkan penghormatan kepada leluhur dan Sang Pencipta. Pola harmonis mencerminkan doa, kebijaksanaan, dan rasa syukur, menggambarkan ikatan spiritual yang abadi dalam kehidupan manusia."
Data 29 Batik Rahayu (Udan Liris),Trenggalek,Udan Liris,Alam (Hujan),"Coklat, hitam",Tulis,Primisima,Sintetis,Geometris,"menggambarkan hujan rintik-rintik. Pola tetesan air tersusun harmonis melambangkan kesuburan, ketenangan, dan keseimbangan alam, menciptakan suasana damai yang merefleksikan hubungan erat manusia dengan lingkungan sekitarnya"
Data 1 Batik Soendari (Lereng Singa Kawung),Malang,Lereng Singa Kawung,"FLORA (Teratai/ Lotus/ 蓮花, Kopi/ Coffee/ コーヒー) // FAUNA (Singa/ Lion/ ライオン) ","Coklat/brown, Hijau/green",Cap,Katun Prima,Sintetis,Geometris,Kawung dan singa sebagai lambang dari Kerajaan Singosari (1222 - 1292). Motif kawung terinspirasi dari Arca Mahakala (Mahakala Statue) yang terdapat pada Candi Singosari. Arca ini merupakan simbol dewa waktu. Penempatan motif kawung pada batik ini menyimbolkan kejayaan kerajaan Singasari yang melintas zaman.
Data 2 Batik Soendari (Manyar Latar Trembesi),Malang,Manyar Latar Trembesi,FLORA (Trembesi/Rain Tree/ レインツリー) // FAUNA (Burung Manyar/Weaver Bird/ ハタオリドリ),"Tosca, Coklat/brown",Cap,Katun Prima,Sintetis,Non Geometris,"Burung Manyar merupakan simbol kreatifitas yang ditetapkan Pemerintah Kota Malang sebagai simbol kota Malang. Pohon Trembesi juga dianggap sebagai pohon pusaka di malang, karena memiliki nilai sejarah, pohon ini dibawa dari Amerika oleh bangsa Belanda. Pohon ini juga menyimbolkan kekuatan dan keteduhan."
Data 3 Batik Soendari (Padma Manyar),Malang,Padma Manyar (Teratai dan burung manyar),FLORA (Teratai/Lotus/ 蓮花) // FAUNA (Burung Manyar/Weaver Bird/ ハタオリドリ),"Biru/blue, Merah/red",Tulis,Katun Prima,Sintetis,Non Geometris,Warna biru yang dominan sebagai simbol dari Arema (Klub sepakbola Malang) dan merah yang menyimbolkan bunga teratai (yang banyak ditemukan di kolam Tugu kota malang)
Data 4 Batik Soendari (Ikan Maskoki),Malang,Ikan Maskoki,FAUNA (Ikan Maskoki / Goldfish/ 金魚),"Biru Tua/dark blue, Cream, Merah Muda/Pink",Tulis,Sutra,Sintetis,Non Geometris,"Terinspirasi dari ikan maskoki yang menjadi lambang kesuksesan, keberlimpahan dan kekayaan pada kebudayaan Tionghoa"
Data 5 Batik Soendari (Arca GanesCandra Kapalaha),Malang,(Arca GanesCandra Kapalaha),FLORA (Teratai / Lotus/ 蓮花) // CULTURE (Arca Ganesha / Ganesha Statue/ ガネーシャ像),Hijau Emerald,Cap,Katun Prima,Sintetis,Geometris,"Terinspirasi dari Ardha Candra Kapala, yang terdapat di atas arca Ganesha (berupa Batara Kala yang sedang menggigit bulan sabit sebagai simbol mata ketiga). Pemujaan kepada Ganesha (dewa perlindungan) disini menjadi bagian dari tradisi Budha Tantrayana."
Data 6 Batik Soendari (Trembesi),Malang,Trembesi,FLORA (Trembesi / Rain Tree/ レインツリー),"Coklat/brown, Tosca",Cap,Katun Prima,Sintetis,Geometris,"terinspirasi dari pohon trembesi yang banyak terdapat di kota Malang. Kemudian pada tahun 2018, wakil walikota Malang menginstruksikan Trembesi sebagai pohon heritage di malang untuk jadi motif batik."
Data 7 Batik Soendari (Tugu Singa Lurik),Malang,Tugu Singa Lurik,FLORA (Teratai / Lotus/ 蓮花) // ARCHITECTURE (Tugu Malang / Malang Monument/ マランの記念像),"Biru/blue, Biru Muda/Bright blue",Cap,Katun Prima,Sintetis,Geometris,Warna biru sebagai simbol klub sepakbola Malang Arema. garis garis vertikal sebagai simbol harapan agar para ASN dapat menjalankan tugasnya dengan baik.
Data 8 Batik Soendari (Pagi Sore Lereng Apel),Malang,Pagi Sore Lereng Apel,FLORA (Apel / Apple/りんご) ,"Coklat/brown, Emas/gold",Cap,Katun Prima,Alam,Geometris,Malang adalah satu-satunya daerah di Indonesia yang memiliki perkebunan Apel. Oleh karena itu Apel menjadi salah satu ikon Malang.
Data 9 Batik Soendari (Lereng Sekartaji),Malang,Lereng Sekartaji,"CULTURE (Topeng / Traditional Mask/ 仮面, Air / Water/ 水)","Biru, Putih",Cap,Katun Prima,Sintetis,Geometris,"Pada perayaan kota Malang yang ke, topeng panji Sekartaji dipilih menjadi simbol kota Malang karena memiliki makna kesetiaan dan keberanian."
Data 10 Batik Soendari (Candi Badut Trembesi),Malang,Candi Badut Trembesi,"FLORA (Trembesi/Rain Tree/ レインツリー, Teratai/Lotus/ 蓮花蓮花) // ARCHITECTURE (Candi Badut/Badut Temple/ バドゥット寺院) // CULTURE (Sekartaji/Sekartaji Mask/ セカルタジ)","Ungu, Hitam",Tulis dan Cap,Katun Prima,Sintetis,Non Geometris,terinspirasi dari gerbang yang terdapat pada candi badut (candi peninggalan kerajaan Kanjuruhan abad ke 7). Gerbang tersebut dibuat lima buah untuk melambangkan lima kecamatan yang ada di kota Malang.
Data 11 Batik Soendari (Bantengan),Malang,Bantengan,FLORA (Teratai/Lotus/ 蓮花) // FAUNA (Banteng/Bull/ 雄牛) ,Peach (Pink Muda),Cap,Katun Prima,Sintetis,Geometris,Untuk memperkenalkan kesenian daerah Mberot atau Bantengan kepada masyarakat umum.
Data 12 Batik Soendari (Tugu Teratai),Malang,Tugu Teratai,"FLORA (Trembesi/Rain Tree/ レインツリー, Teratai/Lotus/ 蓮花) // ARCHITECTURE (Tugu Malang/Malang Statue/ マランの記念像)",Merah Terang/Bright Red,Cap,Katun Prima,Sintetis,Geometris,Terinspirasi dari tugu malang yang dikelilingi oleh tanaman teratai.
Data 13 Batik Soendari (Batik Kopi),Malang,Batik Kopi,"FLORA (Bunga Mawar/Rose/ バラの花, Biji Kopi/Coffee Beans/ コーヒー豆, Daun Kopi/Coffee Leaf/ コーヒーの葉)","Coklat, Putih",Tulis dan Cap,Katun Prima,Sintetis,Geometris,"Dibuat untuk pameran di festival kopi yang dilaksanakan di lapangan Banteng Jakarta, Juni 2022"
Data 14 Batik Soendari (Bapang Bonpring),Malang,Bapang Bonpring,FLORA (Bambu/Bamboo/ 竹) // CULTURE (Topeng Bapang/Bapang Mask/ バパンの仮面),"Biru, Cream",Tulis,Primisima,Sintetis,Non Geometris,"Terinspirasi dari kebun bambu / arboretum bambu terbesar di Indonesia yang berada di Kecamatan Turen, kabupaten Malang. Motif bambu ini Dipadukan dengan topeng Bapang yang merupakan topeng yang paling sering muncul di pertunjukan topeng Malang"
Data 15 Batik Soendari (Sido Candra Kapala),Malang,Sido Candra Kapala,FLORA (Teratai/Lotus/ 蓮花) // CULTURE (Candra Kapala/ Candra Kapala/ チャンドラ・カパラ),"Coklat, Biru",Tulis,Primisima,Sintetis,Non Geometris,"Motif ardha candra kapala yang dikombinasikan dengan motif klasik sidomukti (motif batik dari keraton Solo) dan pengaruh dari batik Tulungagung-an. Secara keseluruhan, filosofis yang tertuang dalam batik ini ialah pencerahan."
Data 16 Batik Soendari (Padma Manyar),Malang,Padma Manyar,FLORA (Teratai/Lotus/ 蓮花) // FAUNA (Burung Manyar/Weaver Bird/ ハタオリドリ),"Coklat, Merah",Tulis,Primisima,Sintetis,Non Geometris,"Burung Manyar disahkan menjadi ikon kota Malang pada tahun 2016. Berdasarkan Surat Keputusan Gubernur Jatim nomor 5225/16774/032/1996, burung istimewa dengan nama ilmiah Pioceus Manyar itu telah ditetapkan sebagai ciri khas fauna Kota Malang. Motif Manyar ini dikombinasikan dengan motif padma yang menjadi ikon dari batik Soendari."
Data 17 Batik Soendari (Padma Gradasi),Malang,Padma Gradasi,FLORA (Teratai/Lotus/ 蓮花) ,"Hijau/Dark Green, Kuning",Tulis,Primisima,Sintetis,Non Geometris,Mengangkat Padma sebagai ikon kota Malang (tahun 2000an) yang dibuat dengan teknik gradasi.
Data 18 Batik Soendari (Padma),Malang,Padma,FLORA (Teratai/Lotus/ 蓮花)) ,"Biru gelap, Hijau",Tulis,Primisima,Sintetis,Non Geometris,Mengangkat ikon kota Malang yaitu Padma atau teratai.
Data 19 Batik Soendari (Sekartaji Bonpring),Malang,Sekartaji Bonpring,FLORA (Bambu/Bamboo/ 竹) // CULTURE (Sekartaji/Sekartaji Mask/ セカルタジ仮面),"Kuning, Merah",Tulis,Prima,Sintetis,Non-Geometris,"Eksplorasi kekayaan Kab. Malang yang memiliki arboretum bambu terbesar di Indonesia. Motif ini dipadukan dengan topeng Sekartaji (topeng Dewi Sekartaji, putri raja Kediri, yang kerap muncul dalam pertunjukan tari topeng Malang)"
Data 20 Batik Soendari (Ceplok Apel Singa),Malang,Ceplok Apel-Singa,FLORA (Apel/Apple/ りんご) // FAUNA (Singa/Lion/ ライオン),Coklat Kehijauan,Cap,Prima,Alam,Geometris,Mengkombinasikan ikon-ikon yang menggambarkan kota Malang seperti apel dan singa (arema) untuk menarik wisatawan.
Data 21 Batik Soendari (Teratai Truntum),Malang,Teratai Truntum,FLORA (Teratai/Lotus/ 蓮花)) ,"Hijau Muda/Bright green, Biru/blue",Cap,Prima,Sintetis,Geometris,Kombinasi motif khas Baik Soendari yaitu teratai dengan motif klasik truntum. Truntum dibuat oleh Permaisuri Pakubuwono IV yang sedang bersedih. Menjadi simbol dari hati yang berbunga-bunga.
Data 22 Batik Soendari (Biota Laut),Malang,Biota Laut,"FLORA (Tanaman Laut/Sea Plants/海の植物 ) // FAUNA (Penyu/ SeaTurtle/ 亀, Gurita/Octopus/ 蛸, Ikan/Fish/ 魚) ","Biru Tua, Hitam",Cap,Prima,Sintetis,Non Geometris,Terinspirasi dari kawasan Malang Selatan yang banyak terdapat pantai sekaligus ingin mengangkat pesona laut Malang.
Data 23 Batik Soendari (Padma Latar Ceceg),Malang,Padma Latar Ceceg,"FLORA (Teratai/Lotus/ 蓮花)) // FAUNA (Kupu-kupu/Butterfly/蝶 , Burung Manyar/Weaver Bird/ ハタオリドリ)","Biru, Cream",Tulis,Katun Sutra,Sintetis,"Naturalis, Non Geometris",Padma/teratai sebagai ikon kota Malang. Menggambarkan lintas waktu/lintas zaman karena banyak dijumpai di Candi Singosari.
Data 24 Batik Soendari (Candi Badut),Malang,Candi Badut,FLORA (Teratai/Lotus/ 蓮花) ) // ARCHITECTURE (Candi Badut/Badut Temple),Oranye/orange,Cap,Prima,Sintetis,Geometris,terinspirasi dari gerbang yang terdapat pada candi badut (candi peninggalan kerajaan Kanjuruhan abad ke 7). Gerbang tersebut dibuat lima buah untuk melambangkan lima kecamatan yang ada di kota Malang. Pemilihan warna oranye untuk menunjukkan kesan hangat dan cerah
Data 25 Batik Soendari (Teratai Sekartaji 3 Dimensi),Malang,Teratai Sekartaji 3 Dimensi,FLORA (Trembesi/Rain Tree/ レインツリー) // CULTURE (Sekartaji/Sekartaji Mask/セカルタジ仮面),Biru Tua/dark blue,Cap,prima,Sintetis,Geometris,Simbol dari perempuan yang bijaksana yang dipadukan dari teratai. Umumnya menjadi hiasan kepala topeng sekartaji
Data 26 Batik Soendari (Teratai Tugu Kontemporer),Malang,Teratai Tugu Kontemporer,FLORA (Teratai/Lotus・蓮花・) // ARCHITECTURE (Tugu Malang/Malang Statue/マランの記念像,Merah/red,Tulis dan Cap,Prima,Sintetis,Non Geometris,"Kombinasi antara batik sekarjagad dan Tugu malang sebagai ikon kota Malang. Batik Sekarjagad adalah motif batik dari Solo dan Yogyakarta. Motif ini mengandung makna aneka rupa keindahan yang terjalin menjadi satu. Ada juga yang beranggapan bahwa Sekarjagad berasal dari kata ""kar"" dan ""jagad"" (Bahasa Jawa). ""kar"" berarti peta, ""jagad"" berarti ""dunia"" sehingga ""kar jagad"" melambangkan keragaman di seluruh dunia."
Data 27 Batik Soendari (Sekartaji Latar Gede),Malang,Sekartaji Latar Gedeg,"CULTURE (Topeng Sekartaji/Sekartaji Mask/ セカルタジ仮面, Gedeg/ Gedeg/ ) ","Biru/blue, Hitam/Black",Cap,Prima,Sintetis,Geometris,"Batik ini memiliki latar utama anyaman bambu yang disebut ""gedeg"" (bahasa Jawa). Warna biru dipilih karena berasosiasi dengan Klub Sepakbola Malang ""Arema"""
Data 28 Batik Soendari (Sekartaji Latar Daun Bambu),Malang,Sekartaji Latar Daun Bambu,FLORA (Daun Bambu/Bamboo Leaf) // CULTURE (Sekartaji/Sekartaji Mask),Merah/red,Cap,Prima,Sintetis,Geometris,"Sekartaji sebagai simbol perempuan tangguh dikombinasikan dengan bambu yang digambarkan fleksibel namun kuat, cocok dengan sifat Sekartaji."
Data 29 Batik Soendari (Sekartaji Latar Kawung),Malang,Sekartaji Latar Kawung,"CULTURE (Sekartaji/Sekartaji Mask/ , Kawung)","Hitam/Black, Putih/White",Cap,Prima,Sintetis,Geometris,Eksplorasi dari cerita Sekartaji dengan latar Kerajaan Jenggala dan Kediri yang disatukan setelah berperang (Narasi Sejarah Kerajaan).
Data 30 Batik Soendari (Noni Latar Gedeg),Malang,Noni Latar Gedeg,HISTORY (Noni Belanda/Dutch Lady),Coklat/Brown,Cap,Prima,Sintetis,Geometris,"Di Malang banyak terdapat peninggalan zaman kolonial belanda seperti rumah dan gereja. Sementara ""gedeg"" atau dinding rumah yang terbuat dari anyaman bambu biasa ditemukan di rumah tradisional jawa. Penggabungan dua motif ini menunjukkan akulturasi budaya yang juga bernilai sejarah."
Data 31 Batik Soendari (Bunga Apel),Malang,Bunga Apel,FLORA (Bunga Apel/Apple Leaf),Merah tua/Dark Red,Cap,Prima,Sintetis,Geometris,Terinspirasi dari Apel Malang yang terkenal
Data 32 Batik Soendari (Bunga Apel),Malang,Bunga Apel,CULTURE (Naga/Dragon),"Biru/Blue, Putih/White",Cap,Prima,Sintetis,Geometris,"Kombinasi dua motif yaitu 'Kawung"", sebuah motif batik klasik yang menjadi ciri khas kerajaan Singosari dipadu dengan ""naga"", yang terdapat pada ukiran candi jawi di pasuruan, jawa Timur. Candi ini didedikasikan untuk raja terakhir kerajaan Singosari yairu Raja Kertanegara (1268-1292)"
Data 33 Batik Soendari (Garudeya Latar Kawung),Malang,Garudeya Latar Kawung,"CULTURE (Garudeya, Kawung)","Merah/red, Putih/White",Cap,Prima,Sintetis,Geometris,"Garudeya adalah ornamen yang terdapat di candi Kidal, Kecamatan Tumpang, Kabupaten Malang. Candi Kidal dibangun pada tahun 1284 M sebagai bentuk penghormatan kepada raja kedua kerajaan Singasari, Raja Anusapati. Pada bagian bawah candi terdapat relief garudeya (Garuda) dimana legenda ini menceritakan bakti seorang anak yang melakukan pembebasan perbudakan ibunya. Terinspirasi dari kisah tersebut, motif batik ini dibuat sebagai tema perayaan ke 10 tahun galeri batik ""Soendari' yaitu ""bakti anak terhadap ibu""."
Data 34 Batik Soendari (Teratai Trembesi 3 Dimensi),Malang,Teratai Trembesi 3 Dimensi,"FLORA (Trembesi/Rain Tree/ , Teratai/Lotus)","Merah muda/pink, Cream",Cap,Prima,Sintetis,Non Geometris,gambaran suasana alun-alun tugu Kota Malang yang dikelilingi tanaman teratai dan pohon trembesi.
Data 1 Batik Krajan (Kopi),Malang,Kopi,FLORA (Biji kopi/Coffee Beans/コーヒー豆),"Coklat/Brown/茶色, Putih/White/白い",Tulis,Katun Primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari tren menjamurnya kafe, mencerminkan suasana santai yang penuh kreativitas, khas budaya ngopi masa kini. Pola desain menggabungkan elemen-elemen ikonik seperti cangkir kopi beruap, biji kopi. Batik ini tidak hanya menjadi representasi gaya hidup modern, tetapi juga simbol harmonisasi antara tradisi dan tren kontemporer."
Data 2 Batik Krajan (Truntum Garudeya),Malang,Truntum Garudeya,FLORA (Bunga/Flower/花) // CULTURE (Garudeya/ガルデヤ),"Hitam/Black/黒い, Putih/White/白い",Tulis dan cap,Katun Primisima,Sintetis,Non Geometris,Pembuatan motif batik atas permintaan Pemerintah Kabupaten Malang (motif Garudeya/garuda dipatenkan oleh pemerintah kab. malang pada tahun 2023 sebagai ikon unggulan kabupaten Malang)
Data 3 Batik Krajan (Bunga Terompet Garudeya),Malang,Bunga Terompet Garudeya,"FLORA (Bunga Terompet/Trumpet Flower/ダチュラ, Daun Bunga Terompet/Trumpet Flower Leaf/ダチュラの葉, Bunga Terompet Batang/Trumpet Flower Stem/ダチュラ) // CULTURE (Garudeya/ガルデヤ)","Hitam/Black/黒い, Kuning/Yellow/黄色",Tulis,Katun Primisima,Sintetis,Non Geometris,Pembuatan motif batik atas permintaan Pemerintah Kabupaten Malang (motif Garudeya/garuda dipatenkan oleh pemerintah kab. malang pada tahun 2023 sebagai ikon unggulan kabupaten Malang) untuk even DEKRANASDA fest. Motif ini dipadukan dengan bunga terompet yang banyak terdapat di desa Krajan.
Data 4 Batik Krajan (Bunga Mega Mendung),Malang,Bunga Mega Mendung,FLORA (Bunga/Flower/花) // FAUNA (Sepasang burung Merak/a pair of Peacocks/孔雀) // CULTURE (Motif Awan Mega Mendung/Awan Mega Mendung pattern/ メガ・ムンドゥンの雲文様),"Coklat/Brown/茶色, Putih/White/白い",Tulis,Katun Primisima,Sintetis,Non Geometris,"Motif batik ini dibuat berdasarkan permintaan dari Perum BULOG (badan urusan logistik, badan usaha milik negara yang mengurusi masalah pangan)"
Data 5 Batik Krajan (Bunga Sepatu),Malang,Bunga Sepatu,FLORA (Bunga Sepatu/ Hibiscus/ ハイビスカス) ,"Biru Navy/Navy Blue/ネイビーブルー, Putih/White/白い",Tulis,Katun Primisima,Natural Strobilanthes,Non Geometris,"Motif ini terinspirasi dari studi banding di Yogyakarta tentang pewarna alam indigo blue. Warna biru alami menciptakan kesan elegan dan klasik, dipadukan dengan pola organik yang mencerminkan harmoni alam"
Data 6 batik Krajan (Bunga Ploso),Malang,Bunga Ploso,FLORA (Bunga Ploso/Palasa Flower/ モノスペルマの花),"Coklat/Brown/茶色, Oranye/Orange/オレンジ",Tulis,Tenun Gedog,Sintetis,Non Geometris,Motif bunga Ploso (Palasa Flower) yang menjadi Ikon Kecamatan Karangploso karena tanaman ini banyak ditemukan di sini.
Data 7 Batik Krajan (Bunga Sepatu),Malang,Bunga Sepatu,"FLORA (Bunga Sepatu/Hibiscus/ハイビスカス, Daun Bunga Sepatu/Hibiscus Leaf/ハイビスカスの葉, Ranting Bunga Sepatu/Hibiscus Twig/ハイビスカスの枝)","Hitam/Black/黒い, Coklat/Brown/茶色",Tulis,Katun Primisima,Sintetis,Non Geometris,"Motif ini lahir dari kreativitas di tengah pandemi COVID-19, terinspirasi dari bunga bermekaran di halaman, sebagai simbol harapan dan ketahanan."
Data 8 Batik Krajan (Sekar Jagad),Malang,Sekar Jagad,"FLORA (Biji kopi/Coffee Beans, Bunga Mawar/Rose/薔薇, ukel-ukel) // FAUNA (Burung pipit/sparrows/雀)","Coklat/Brown/茶色, Merah Bata/Dark Red/濃い赤",Cap,Katun Prima,Sintetis,Geometris,"Motif ini tercipta di masa pandemi sebagai ekspresi kreativitas, menggabungkan keindahan sekar jagad, bunga, dan kopmenghadirkan batik penuh makna yang merefleksikan semangat bertahan dan berkarya."
Data 9 Batik Krajan (Bangau Terbang),Malang,Bangau Terbang,FAUNA (Burung Bangau/Stork/鸛) // NATURE (Awan/Cloud/曇り),"Ungu/Purple/紫, Biru/Blue/青い",Tulis,Katun primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari burung bangau yang terlihat di sawah Desa Karangploso. Dengan sentuhan artistik, desain ini mencerminkan harmoni antara kehidupan tradisional dan keindahan alam."
Data 10 Batik Krajan (Parang Lombok),Malang,Parang lombok,FLORA (Tanaman Cabe/Chili Plant/蕃椒) // CULTURE (Motif Klasik/Classic Pattern/ 古典文様),"Merah/red/赤い, Hitam/Black/黒い",Tulis,Katun primisima,Sintetis,Non Geometris,Inspirasi motif bersumber dari Icon Desa Mbocek Kecamatan Karangploso dengan isian motif tanaman Lombok
Data 11 Batik Krajan (Ukel-ukel),Malang,Ukel-ukel,FLORA (Tanaman sekulen tasbih/String of Pearls/ グリーンネックレス),Biru Navy/Navy Blue/ネイビーブルー,Cap,Katun primisima,Sintetis,Geometris,"Motif Ukel adalah motif modern yang terinspirasi dari tumbuhan menjalar, melambangkan pertumbuhan dan keindahan alami. Pola ukel-ukel juga sering diasosiasikan dengan rambut melingkar, menciptakan kesan dinamis, elegan, dan harmonis"
Data 12 Batik Krajan (Parang Garudeya Truntum),Malang,Parang Garudeya Truntum,FLORA (Bunga Truntum/トゥルントゥム文様) // CULTURE (Garudeya/ガルデヤ),"Hijau army/Army Green/グリーンアーミー, Merah/Red/赤い",Cap,Katun prima,Sintetis,Non Geometris,Pembuatan motif ini secara khusus dirancang untuk event dekranasda fest pada bulan desember 2024
Data 13 Batik Krajan (Garudeya Daun),Malang,Garudeya Daun,FLORA (Daun perisai/盾形の葉文様) // CULTURE (Garudeya/ガルデヤ),"Coklat/Brown/ 茶色, Coklat Muda/Bright Brown",Cap,Katun Prima,Sintetis,Non Geometris,Pembuatan motif ini secara khusus dirancang untuk event dekranasda fest pada bulan desember 2024
Data 14 Batik Krajan (Parang Kopi),Malang,Parang Kopi,"FLORA (Biji kopi/Coffee Beans/コーヒー豆) // CULTURE (Motif Parang/Parang Pattern, Motif Klasik/Classic Pattern/古典文様)","Oranye/Orange/オレンジ, Coklat/Brown/茶色",Cap,Katun Prima,Sintetis,Non Geometris,"Motif batik ini mengadaptasi tren batik gelombang, mencerminkan budaya ngopi modern dengan nuansa santai dan kreatif. Pola dinamis menyerupai aliran kopi, menggabungkan biji kopi serta ornamen khas."
Data 15 Batik Krajan (Kawung Kates),Malang,Kawung Kates,FAUNA (Burung merak/孔雀),"Oranye/Orange/オレンジ, Coklat/Brown/茶色",Cap dan tulis,Katun Prima,Sintetis,Non Geometris,"Pembatik adalah ketua kelompok wanita tani desa Krajan, sehingga banyak motif batiknya terinspirasi dari hasil pertanian seperti pepaya dan kopi. Motif ini dikombinasikan buatan motif untuk event dekranasda fest pada bulan desember 2024"
